Scientificname,Commonname,Taxa_Type,total_count,n_observations,non-native,invasive
Micropogonias undulatus,Atlantic Croaker,Fish,1195,210,,
Micropterus salmoides,Florida Bass,Fish,1499,549,,
Misgurnus anguillicaudatus,Pond Loach,Fish,2,2,Y,
Monacanthidae spp.,Filefishes,Fish,1,1,,
Monacanthus ciliatus,Fringed Filefish,Fish,811,390,,
Monopterus albus,Asian Swamp Eel,Fish,4,4,Y,
Morone saxatilis,Striped Bass,Fish,1,1,,
Mugil cephalus,Striped Mullet,Fish,238075,7043,,
Mugil curema,White Mullet,Fish,13754,1829,,
Mugil spp.,Mullets,Fish,1531,90,,
Mugil trichodon,Fantail Mullet,Fish,24868,2361,,
Mullus auratus,Red Goatfish,Fish,6,4,,
Mycteroperca bonaci,Black Grouper,Fish,5,4,,
Mycteroperca microlepis,Gag,Fish,2298,802,,
Myrophis punctatus,Speckled Worm Eel,Fish,18,18,,
Negaprion brevirostris,Lemon Shark,Fish,14,11,,
Nicholsina usta,Emerald Parrotfish,Fish,4810,889,,
Notemigonus crysoleucas,Golden Shiner,Fish,280,55,,
Notropis maculatus,Taillight Shiner,Fish,225,28,,
Notropis spp.,minnows,Fish,8,3,,
Noturus gyrinus,Tadpole Madtom,Fish,4,3,,
Ocyurus chrysurus,Yellowtail Snapper,Fish,75,27,,
Odontoscion dentex,Reef Croaker,Fish,1,1,,
Ogcocephalus cubifrons,Polka-dot Batfish,Fish,260,191,,
Ogcocephalus spp.,Batfishes,Fish,1,1,,
Oligoplites saurus,Leatherjacket,Fish,16621,4958,,
Ophichthidae spp.,snake eels,Fish,1,1,,
Ophichthus gomesii,Shrimp Eel,Fish,1,1,,
Ophidion holbrookii,Bank Cusk-eel,Fish,7,7,,
Opisthonema oglinum,Atlantic Thread Herring,Fish,92447,1701,,
Opistognathus robinsi,Spotfin Jawfish,Fish,5,5,,
Opsanus beta,Gulf Toadfish,Fish,7514,3322,,
Opsanus beta (red morph),Gulf Toadfish (red morph),Fish,2,2,,
Oreochromis aureus,Blue Tilapia,Fish,664,88,Y,
Oreochromis niloticus,Nile Tilapia,Fish,67,13,Y,
Oreochromis spp.,tilapias,Fish,24,2,Y,
Oreochromis/Sarotherodon spp.,Tilapias,Fish,3783,623,Y,
Orthopristis chrysoptera,Pigfish,Fish,159296,6452,,
Ostraciidae spp.,Boxfishes,Fish,20,15,,
Parablennius marmoreus,Seaweed Blenny,Fish,1,1,,
Parachromis managuensis,Jaguar Guapote,Fish,1,1,Y,
Paraclinus fasciatus,Banded Blenny,Fish,2,2,,
Paraclinus marmoratus,Marbled Blenny,Fish,488,134,,
Paralichthyidae spp.,Sand Flounders,Fish,1,1,,
Paralichthys albigutta,Gulf Flounder,Fish,8577,4592,,
Pelmatolapia mariae,Spotted Tilapia,Fish,39,19,Y,
Peprilus burti,Gulf Butterfish,Fish,2,2,,
Peprilus paru,Harvestfish,Fish,169,40,,
Pleuronectiformes spp.,Flounders,Fish,1,1,,
Poecilia latipinna,Sailfin Molly,Fish,57596,2877,,
Poecilia spp.,Mollies,Fish,22,3,,
Pogonias cromis,Black Drum,Fish,2363,694,,
Pomatomus saltatrix,Bluefish,Fish,541,97,,
Pomoxis nigromaculatus,Black Crappie,Fish,50,32,,
Prionotus martis,Barred Searobin,Fish,2,1,,
Prionotus rubio,Blackwing searobin,Fish,4,3,,
