Reference,gr,Latitude,Longitude
TBD2001122103,800,27.855667,-82.3867
TBD2001122201,800,27.85255,-82.399317
TBD2001122301,800,27.8507,-82.397083
TBD2001122302,800,27.846017,-82.395567
TBD2001122401,800,27.845933,-82.395567
TBD2001122402,800,27.85565,-82.386733
TBD2001122403,800,27.86015,-82.349117
TBD2002010101,251,27.630333,-82.7075
TBD2002010102,251,27.630167,-82.7065
TBD2002010201,251,27.6323,-82.724917
TBD2002010202,251,27.624417,-82.7333
TBD2002010203,251,27.654733,-82.71925
TBD2002010204,251,27.629983,-82.7056
TBD2002010205,251,27.629983,-82.7056
TBD2002010206,255,27.629983,-82.7056
TBD2002010207,251,27.6523,-82.723483
TBD2002010301,251,27.6805,-82.679567
TBD2002010302,251,27.682867,-82.6797
TBD2002010303,251,27.848767,-82.617967
TBD2002010304,251,27.84785,-82.60805
TBD2002010305,251,27.8367,-82.6016
TBD2002010306,251,27.82655,-82.594133
TBD2002010401,251,27.6224,-82.730467
TBD2002010402,251,27.624467,-82.730033
TBD2002010501,251,27.623383,-82.7269
TBD2002010502,251,27.624033,-82.7265
TBD2002012101,800,27.8536,-82.3836
TBD2002012102,800,27.796567,-82.4188
TBD2002012103,800,27.838283,-82.391333
TBD2002012201,800,27.8523,-82.39735
TBD2002012202,800,27.851933,-82.3974
TBD2002012203,800,27.846,-82.395433
TBD2002012204,800,27.85075,-82.3971
TBD2002012205,800,27.8523,-82.39735
TBD2002012301,800,27.846567,-82.395467
TBD2002012401,800,27.8575,-82.3465
TBD2002012402,800,27.8581,-82.390583
TBD2002020101,251,27.5375,-82.640833
TBD2002020102,251,27.535917,-82.61925
TBD2002020103,251,27.550917,-82.61925
TBD2002020201,251,27.660367,-82.677517
TBD2002020202,251,27.68585,-82.6804
TBD2002020203,251,27.688267,-82.68155
TBD2002020204,251,27.68825,-82.692267
TBD2002020301,251,27.62905,-82.70735
TBD2002020302,251,27.62905,-82.70735
TBD2002020303,251,27.62905,-82.70735
TBD2002020401,251,27.6285,-82.707033
TBD2002020402,251,27.632333,-82.703317
TBD2002020403,251,27.629517,-82.705517
TBD2002020404,251,27.629517,-82.705517
TBD2002020405,251,27.633667,-82.703133
TBD2002020406,251,27.63225,-82.703467
TBD2002020501,251,27.62695,-82.719367
TBD2002022101,800,27.852317,-82.397483
TBD2002022102,800,27.855617,-82.386783
TBD2002022103,800,27.860017,-82.348867
TBD2002022201,800,27.852167,-82.397383
TBD2002022202,800,27.84585,-82.395483
TBD2002022203,800,27.83705,-82.391617
TBD2002022204,800,27.84585,-82.395483
TBD2002022205,800,27.853817,-82.388533
TBD2002022301,800,27.711117,-82.4531
TBD2002022302,800,27.709567,-82.45
TBD2002022303,800,27.700467,-82.453617
TBD2002022304,800,27.699783,-82.454883
TBD2002022401,800,27.682367,-82.529283
TBD2002022402,800,27.6797,-82.531483
TBD2002022403,800,27.684633,-82.524767
TBD2002022501,800,27.700367,-82.4536
TBD2002032101,800,27.845967,-82.3956
TBD2002032102,800,27.85185,-82.3975
TBD2002032103,800,27.8599,-82.349033
TBD2002032201,800,27.700433,-82.453633
TBD2002032202,800,27.709567,-82.44995
TBD2002032203,800,27.703183,-82.447333
TBD2002032301,800,27.852717,-82.397383
TBD2002032302,800,27.84595,-82.395467
TBD2002032303,800,27.837133,-82.391633
TBD2002032401,800,27.677783,-82.532517
TBD2002032402,800,27.682817,-82.530517
TBD2002032403,800,27.67925,-82.51425
TBD2002032501,800,27.845967,-82.395467
TBD2002032502,800,27.789917,-82.407617
TBD2002042101,800,27.852367,-82.397433
TBD2002042102,800,27.85065,-82.397017
TBD2002042103,800,27.8366,-82.39135
TBD2002042104,800,27.807367,-82.400467
TBD2002042201,800,27.8561,-82.3868
TBD2002042202,800,27.835433,-82.392117
TBD2002042203,800,27.856667,-82.346667
TBD2002042301,800,27.837167,-82.391517
TBD2002042302,800,27.814417,-82.394317
TBD2002052101,800,27.845783,-82.395533
TBD2002052102,800,27.837117,-82.391383
TBD2002052103,800,27.814467,-82.394633
TBD2002052201,800,27.852183,-82.397517
TBD2002052202,800,27.83755,-82.3882
TBD2002052301,800,27.609167,-82.569167
TBD2002052302,800,27.609417,-82.570417
TBD2002052303,800,27.592733,-82.60315
TBD2002052304,800,27.601717,-82.5559
TBD2002052305,800,27.607717,-82.5681
TBD2002052306,800,27.6075,-82.559167
TBD2002052401,800,27.7004,-82.453617
TBD2002052402,800,27.71755,-82.47305
TBD2002052403,800,27.715933,-82.47695
TBD2002052404,800,27.71205,-82.481283
TBD2002052405,800,27.703017,-82.447283
TBD2002052406,800,27.68955,-82.450817
TBD2002052501,800,27.851667,-82.391667
TBD2002052502,800,27.85,-82.391667
TBD2002052503,800,27.84,-82.396667
TBD2002052504,800,27.811667,-82.411667
TBD2002052505,800,27.815,-82.4
TBD2002062101,800,27.85245,-82.397567
TBD2002062102,800,27.850683,-82.396983
TBD2002062103,800,27.845833,-82.395433
TBD2002062104,800,27.8371,-82.391433
TBD2002062201,800,27.8461,-82.395283
TBD2002062202,800,27.837033,-82.3914
TBD2002062203,800,27.883567,-82.4035
TBD2002062301,800,27.691733,-82.445983
TBD2002062302,800,27.70315,-82.44735
TBD2002062303,800,27.701267,-82.452533
TBD2002062304,800,27.7139,-82.45995
TBD2002062305,800,27.710317,-82.4512
TBD2002062401,800,27.68945,-82.4343
TBD2002062402,800,27.700467,-82.453567
